  QueueTimes | ServiceTimes | SojournTimes

       2.405 |        1.117 |        3.522
       1.660 |        1.078 |        2.738
       1.744 |        1.031 |        2.775
       0.314 |        1.112 |        1.425
       0.267 |        1.187 |        1.454
       0.677 |        1.083 |        1.761
       0.272 |        1.180 |        1.452
       0.781 |        1.064 |        1.845
       0.216 |        1.178 |        1.394
       0.161 |        1.370 |        1.531
       1.262 |        1.125 |        2.387
       0.710 |        1.285 |        1.996
       1.670 |        1.063 |        2.732
       0.478 |        1.190 |        1.668
       0.215 |        1.124 |        1.339
       0.264 |        1.288 |        1.552
       0.450 |        1.065 |        1.514
       0.246 |        1.083 |        1.329
       0.174 |        1.229 |        1.403
       0.434 |        1.107 |        1.541
       0.703 |        1.058 |        1.761
       0.318 |        1.247 |        1.565
       0.431 |        1.234 |        1.665
       0.238 |        1.119 |        1.357
       0.260 |        1.137 |        1.397
       0.326 |        1.178 |        1.504
       0.398 |        1.174 |        1.572
       0.381 |        1.267 |        1.648
       0.138 |        1.273 |        1.410
       0.782 |        1.191 |        1.973
       0.266 |        1.701 |        1.967
       1.704 |        1.487 |        3.191
       2.887 |        1.144 |        4.032
       3.834 |        1.152 |        4.986
       0.315 |        1.328 |        1.643
       0.367 |        1.516 |        1.883
       0.183 |        1.393 |        1.577
       1.097 |        1.415 |        2.512
       0.335 |        1.468 |        1.803
       0.217 |        1.331 |        1.549
       0.605 |        1.189 |        1.793
       0.622 |        1.519 |        2.141
       2.036 |        1.304 |        3.340
       3.380 |        1.376 |        4.756
       4.525 |        1.239 |        5.764
       5.679 |        1.102 |        6.781
       5.022 |        1.090 |        6.111
       4.800 |        1.179 |        5.979
       5.581 |        1.055 |        6.636
       6.523 |        1.102 |        7.625
       3.702 |        1.177 |        4.879
       1.232 |        1.125 |        2.358
       2.028 |        1.062 |        3.090
       0.375 |        1.116 |        1.491
       0.344 |        1.137 |        1.481
       0.340 |        1.201 |        1.541
       0.299 |        1.242 |        1.541
       0.263 |        1.158 |        1.421
       0.246 |        1.140 |        1.386
       0.220 |        1.220 |        1.440
       1.337 |        1.084 |        2.420
       0.598 |        1.105 |        1.703
       0.224 |        1.150 |        1.374
       0.286 |        1.119 |        1.406
       0.232 |        1.246 |        1.477
       0.349 |        1.247 |        1.596
       0.249 |        1.123 |        1.373
       0.235 |        1.183 |        1.418
       0.873 |        1.103 |        1.976
       0.272 |        1.114 |        1.386
       0.248 |        1.193 |        1.441
       0.410 |        1.170 |        1.579
       0.828 |        1.067 |        1.896
       0.260 |        1.168 |        1.428
       0.256 |        1.212 |        1.468
       0.929 |        1.085 |        2.014
       0.279 |        1.093 |        1.372
       0.241 |        1.303 |        1.545
       1.343 |        1.113 |        2.456
       0.301 |        1.241 |        1.542
       0.263 |        1.360 |        1.623
