  QueueTimes | ServiceTimes | SojournTimes

       0.314 |        0.474 |        0.788
       0.335 |        0.422 |        0.756
       0.304 |        0.357 |        0.661
       0.347 |        0.517 |        0.863
       0.361 |        0.382 |        0.744
       0.327 |        0.410 |        0.738
       0.359 |        0.355 |        0.714
       0.257 |        0.386 |        0.643
       0.332 |        0.348 |        0.680
       0.411 |        0.386 |        0.798
       0.412 |        0.381 |        0.793
       0.373 |        0.378 |        0.752
       0.314 |        0.402 |        0.716
       0.299 |        0.439 |        0.737
       0.376 |        0.353 |        0.729
       0.293 |        0.410 |        0.703
       0.341 |        0.417 |        0.758
       0.338 |        0.439 |        0.776
       0.300 |        0.402 |        0.702
       0.358 |        0.421 |        0.779
       0.301 |        0.411 |        0.712
       0.404 |        0.409 |        0.813
       0.312 |        0.357 |        0.669
       0.281 |        0.496 |        0.777
       0.285 |        0.295 |        0.580
       0.331 |        0.399 |        0.731
       0.231 |        0.278 |        0.509
       0.291 |        0.364 |        0.656
       0.280 |        0.389 |        0.669
       0.307 |        0.396 |        0.703
       0.345 |        0.374 |        0.719
       0.347 |        0.394 |        0.741
       0.288 |        0.427 |        0.715
       0.289 |        0.360 |        0.650
       0.323 |        0.404 |        0.727
       0.344 |        0.386 |        0.729
       0.341 |        0.364 |        0.706
       0.330 |        0.341 |        0.671
       0.317 |        0.376 |        0.693
       0.350 |        0.409 |        0.759
       0.356 |        0.396 |        0.752
       0.371 |        0.392 |        0.763
       0.361 |        0.395 |        0.756
       0.369 |        0.376 |        0.745
       0.225 |        0.421 |        0.646
       0.365 |        0.391 |        0.756
       0.360 |        0.371 |        0.731
       0.255 |        0.402 |        0.657
       0.354 |        0.545 |        0.899
       0.333 |        0.422 |        0.756
       0.251 |        0.358 |        0.609
       0.331 |        0.405 |        0.737
       0.247 |        0.355 |        0.602
       0.331 |        0.429 |        0.760
       0.273 |        0.373 |        0.646
       0.318 |        0.396 |        0.714
       0.342 |        0.362 |        0.703
       0.305 |        0.509 |        0.814
       0.308 |        0.421 |        0.729
       0.324 |        0.505 |        0.830
       0.309 |        0.392 |        0.701
       0.301 |        0.415 |        0.717
       0.329 |        0.380 |        0.710
       0.353 |        0.430 |        0.783
       0.291 |        0.471 |        0.762
       0.291 |        0.387 |        0.677
       0.316 |        0.367 |        0.683
       0.332 |        0.405 |        0.737
       0.291 |        0.402 |        0.693
       0.322 |        0.525 |        0.846
       0.368 |        0.390 |        0.758
       0.360 |        0.410 |        0.770
       0.306 |        0.396 |        0.701
       0.328 |        0.416 |        0.744
       0.271 |        0.412 |        0.683
       0.280 |        0.395 |        0.675
       0.361 |        0.449 |        0.810
       0.337 |        0.414 |        0.751
       0.351 |        0.481 |        0.833
       0.234 |        0.414 |        0.648
       0.281 |        0.352 |        0.633
       0.320 |        0.496 |        0.816
       0.300 |        0.384 |        0.684
       0.381 |        0.390 |        0.771
       0.418 |        0.363 |        0.781
       0.335 |        0.421 |        0.755
       0.365 |        0.401 |        0.766
       0.241 |        0.388 |        0.629
       0.297 |        0.386 |        0.683
       0.339 |        0.410 |        0.748
       0.350 |        0.359 |        0.709
       0.360 |        0.410 |        0.769
       0.352 |        0.372 |        0.724
       0.301 |        0.363 |        0.664
       0.333 |        0.349 |        0.682
       0.334 |        0.294 |        0.628
       0.300 |        0.244 |        0.544
       0.315 |        0.328 |        0.643
       0.322 |        0.341 |        0.663
       0.322 |        0.343 |        0.665
