  QueueTimes | ServiceTimes | SojournTimes

       0.278 |        1.213 |        1.491
       0.280 |        0.629 |        0.908
       0.286 |        1.150 |        1.436
       0.275 |        1.664 |        1.939
       0.282 |        0.924 |        1.206
       0.279 |        0.689 |        0.968
       0.264 |        0.584 |        0.849
       0.340 |        0.891 |        1.230
       0.278 |        1.892 |        2.170
       0.278 |        1.850 |        2.129
       0.300 |        1.300 |        1.601
       0.286 |        1.174 |        1.460
       0.280 |        0.930 |        1.210
       0.278 |        1.139 |        1.417
       0.284 |        1.262 |        1.546
       0.278 |        1.169 |        1.447
       0.284 |        0.874 |        1.158
       0.275 |        1.547 |        1.822
       0.281 |        1.312 |        1.593
       0.537 |        0.786 |        1.323
       0.280 |        0.772 |        1.052
       0.283 |        2.718 |        3.002
       1.528 |        2.350 |        3.878
       0.273 |        2.125 |        2.398
       1.172 |        0.599 |        1.772
       0.281 |        1.771 |        2.052
       1.267 |        0.529 |        1.796
       0.279 |        0.626 |        0.905
       0.278 |        0.806 |        1.084
       0.283 |        0.553 |        0.835
       0.283 |        1.836 |        2.119
       0.274 |        1.451 |        1.725
       0.276 |        0.762 |        1.038
       0.292 |        1.560 |        1.852
       0.279 |        0.877 |        1.156
       0.284 |        1.568 |        1.852
       0.275 |        0.673 |        0.948
       0.272 |        3.194 |        3.466
       0.277 |        1.589 |        1.867
       0.276 |        1.988 |        2.265
       0.274 |        4.210 |        4.484
       3.437 |        0.735 |        4.173
       0.281 |        1.784 |        2.065
       0.274 |        0.671 |        0.945
       0.932 |        0.612 |        1.545
       0.278 |        1.043 |        1.321
       0.256 |        0.954 |        1.209
       0.273 |        1.804 |        2.077
       0.277 |        0.329 |        0.605
       0.271 |        1.176 |        1.447
       0.227 |        1.476 |        1.703
       0.470 |        4.449 |        4.919
       0.280 |        0.737 |        1.017
       0.285 |        0.711 |        0.996
       0.802 |        1.161 |        1.963
       0.277 |        3.642 |        3.919
       2.545 |        2.397 |        4.942
       0.263 |        2.023 |        2.286
       0.276 |        3.200 |        3.476
       0.268 |        2.803 |        3.071
       0.272 |        0.689 |        0.961
       0.282 |        1.055 |        1.337
       0.283 |        0.563 |        0.847
       0.273 |        0.823 |        1.097
       0.283 |        1.974 |        2.257
       0.275 |        1.217 |        1.492
       0.275 |        1.014 |        1.289
       1.242 |        0.907 |        2.149
       0.279 |        3.511 |        3.790
       0.278 |        0.668 |        0.946
       0.274 |        0.679 |        0.953
       0.269 |        1.288 |        1.557
       0.858 |        0.638 |        1.497
       0.283 |        2.432 |        2.715
       0.273 |        0.853 |        1.126
       1.102 |        1.103 |        2.204
       0.276 |        0.858 |        1.134
       0.697 |        0.803 |        1.500
       0.276 |        0.819 |        1.095
       0.279 |        2.810 |        3.089
       1.233 |        1.460 |        2.693
       0.288 |        1.429 |        1.717
       0.754 |        0.724 |        1.478
       0.280 |        2.319 |        2.600
       0.276 |        0.849 |        1.125
       0.276 |        1.603 |        1.879
       0.758 |        1.345 |        2.103
       1.100 |        4.087 |        5.187
       1.808 |        4.580 |        6.388
       0.285 |        0.624 |        0.910
       0.202 |        0.537 |        0.739
       0.278 |        0.646 |        0.924
       0.282 |        0.657 |        0.938
       0.280 |        1.604 |        1.885
       0.279 |        0.664 |        0.943
       0.282 |        2.419 |        2.701
       0.283 |        0.724 |        1.007
       0.277 |        1.206 |        1.483
       0.275 |        0.888 |        1.163
       0.269 |        0.529 |        0.798
       0.281 |        1.146 |        1.428
       0.278 |        3.006 |        3.284
       0.302 |        1.502 |        1.804
       0.279 |        0.670 |        0.950
       0.279 |        0.950 |        1.229
       0.277 |        0.797 |        1.074
       0.285 |        1.720 |        2.006
       0.309 |        1.047 |        1.356
       0.280 |        0.662 |        0.941
       0.280 |        1.162 |        1.442
       0.264 |        0.794 |        1.058
       0.341 |        0.739 |        1.080
       0.280 |        0.926 |        1.206
       0.270 |        1.068 |        1.338
       0.285 |        1.823 |        2.109
       0.270 |        1.042 |        1.312
