  QueueTimes | ServiceTimes | SojournTimes

       0.281 |        1.078 |        1.359
       0.322 |        1.136 |        1.458
       0.306 |        1.048 |        1.354
       0.280 |        1.044 |        1.325
       0.304 |        1.022 |        1.326
       0.305 |        1.053 |        1.358
       0.226 |        1.027 |        1.254
       0.246 |        1.220 |        1.466
       0.483 |        1.076 |        1.559
       0.243 |        1.091 |        1.334
       0.284 |        1.116 |        1.400
       0.223 |        1.136 |        1.359
       0.278 |        1.089 |        1.367
       0.287 |        1.100 |        1.387
       0.250 |        1.083 |        1.334
       0.279 |        1.132 |        1.411
       0.261 |        1.152 |        1.413
       0.324 |        1.090 |        1.414
       0.334 |        1.052 |        1.386
       0.428 |        1.061 |        1.489
       0.217 |        1.067 |        1.284
       0.268 |        1.170 |        1.437
       0.285 |        1.211 |        1.496
       0.875 |        1.046 |        1.921
       0.546 |        1.068 |        1.614
       0.308 |        1.111 |        1.419
       0.518 |        1.076 |        1.593
       0.450 |        1.025 |        1.475
       0.199 |        1.231 |        1.431
       0.228 |        1.250 |        1.478
       0.293 |        1.479 |        1.772
       1.591 |        1.006 |        2.596
       0.207 |        1.170 |        1.376
       0.276 |        1.721 |        1.997
       0.252 |        1.801 |        2.053
       0.588 |        1.195 |        1.783
       0.304 |        1.226 |        1.531
       0.222 |        1.482 |        1.704
       1.608 |        0.983 |        2.590
       0.261 |        1.382 |        1.643
       0.440 |        1.278 |        1.718
       0.631 |        1.093 |        1.724
       1.512 |        0.980 |        2.492
       0.330 |        1.060 |        1.390
       0.344 |        1.170 |        1.513
       0.267 |        1.045 |        1.312
       0.270 |        1.151 |        1.420
       0.288 |        1.081 |        1.370
       0.309 |        1.049 |        1.358
       0.308 |        1.159 |        1.467
       0.489 |        1.007 |        1.496
       0.246 |        1.124 |        1.371
       0.220 |        1.042 |        1.262
       0.319 |        1.183 |        1.502
       0.238 |        1.315 |        1.552
       0.247 |        1.475 |        1.722
       0.302 |        1.341 |        1.643
       0.288 |        1.140 |        1.428
       0.325 |        1.086 |        1.411
       0.190 |        1.089 |        1.279
       0.342 |        1.109 |        1.451
       0.224 |        1.128 |        1.352
       0.599 |        1.001 |        1.600
       0.275 |        1.394 |        1.669
       0.403 |        1.257 |        1.660
       0.274 |        1.055 |        1.329
       0.339 |        1.314 |        1.653
       0.338 |        1.254 |        1.592
       0.313 |        1.082 |        1.396
       0.334 |        1.160 |        1.494
       0.562 |        1.006 |        1.568
       0.334 |        1.317 |        1.651
       0.356 |        1.222 |        1.578
       0.323 |        1.158 |        1.480
       0.209 |        1.051 |        1.260
       0.287 |        1.116 |        1.403
       0.252 |        1.099 |        1.351
       0.353 |        1.064 |        1.417
       0.290 |        1.056 |        1.346
       0.331 |        1.247 |        1.578
       0.250 |        1.213 |        1.463
       0.261 |        1.100 |        1.361
       0.282 |        1.134 |        1.416
       0.267 |        1.165 |        1.432
       0.308 |        1.047 |        1.355
       0.235 |        1.169 |        1.404
       0.281 |        1.094 |        1.375
       0.227 |        1.183 |        1.410
       0.270 |        1.143 |        1.413
       0.269 |        1.046 |        1.314
       0.267 |        1.039 |        1.306
       0.284 |        1.037 |        1.321
       0.293 |        1.297 |        1.589
       0.289 |        1.055 |        1.343
       0.243 |        1.150 |        1.393
       0.292 |        1.132 |        1.424
